Open -79.1021 23.787 28.6149 -46.0385 0.311996 -76.3896 -12.9697 -8.49899 -92.2263 12.2768 -6.582 -86.8614 48.9589 -17.407 -61.9893
0 -43.5634 6.43199 13.9166 -73.0102 21.896 -40.3553 -72.6968 1.55099 -22.6994 -64.132 -15.364 -27.2973 -45.2896 -31.137 -24.7253
1 20.5211 20.431 -64.5814 -8.70466 47.838 -19.1354 -12.7056 51.001 -7.5866 -16.9248 45.148 8.5796 -24.3276 33.009 19.1708
2 22.0564 24.496 -69.9487 -24.2581 48.852 0.5208 -87.682 -17.73 -28.506 -15.0574 37.862 28.5208 -17.4277 21.188 35.7875
3 -18.5444 41.033 -57.0997 -69.0232 36.161 -30.8332 -78.4657 30.2 -0.4972 -55.9861 36.006 20.4333 -39.9422 24.881 30.8732
4 2.35142 30.597 -65.8856 -64.496 20.528 -53.4842 -85.0091 2.955 -30.8405 -83.2323 1.237 4.2915 -61.1717 9.931 52.6444
5 -11.8333 71.767 3.74894 -53.7967 7.25601 -44.2964 -50.6988 -9.606 -42.2814 -35.1541 -25.9 -0.55475 -20.5418 -35.515 -1.8667
6 -47.7354 60.93 7.00565 -32.7123 -32.975 -20.1496 -23.071 -38.883 -31.1888 -9.62957 -40.179 -2.83832 6.00592 -39.42 -4.3941
7 -28.9151 42.609 -36.6699 -6.86463 28.886 -36.4852 2.10401 22.85 -41.1689 11.7333 10.019 -40.7977 19.6095 -5.198 -36.2964
8 -32.7245 -41.198 7.8226 -44.026 8.66499 -4.9044 -39.2627 19.149 -7.8971 -28.7182 28.87 -12.0447 -14.5105 33.153 -21.3228
9 -2.64773 -66.896 14.2447 14.0111 -21.784 36.6419 17.6383 -11.651 39.489 19.884 3.862 36.0852 13.2388 18.693 33.8745
0 -31.7214 54.821 5.4337 3.5294 45.133 -14.2516 13.0872 42.501 -16.5928 22.8407 29.432 -19.0056 25.8081 14.164 -26.3673
1 -35.8517 20.789 -12.0437 -46.8143 -3.67 -7.2374 -46.9379 5.34801 -3.41389 -38.9087 18.726 0.443509 -28.156 30.722 -4.49817
2 -24.6048 -41.241 16.9237 -67.5853 14.769 -9.09092 -51.9523 21.042 -9.1167 -34.7408 31.109 -11.9524 -21.3555 34.654 -19.2043
3 -45.0805 20.206 19.9977 -45.6623 33.756 24.656 -71.5084 34.636 -4.4425 -58.4684 39.435 -23.7211 -37.4466 39.568 -38.001
4 -31.3573 31.338 30.0281 -32.4048 25.182 40.417 -26.1989 33.212 42.6777 -14.4875 39.739 31.7544 -1.3215 41.553 18.3284
5 -42.3916 -47.458 12.6529 -46.5702 40.851 -16.4108 -40.5737 34.221 -59.5882 -17.7482 40.123 -58.2976 2.3964 35.644 -49.3746
6 6.2934 60.998 -13.7507 29.1097 33.708 -17.6669 36.3318 24.762 -15.8989 38.6452 8.85001 -14.3494 34.2094 -7.06802 -18.821
7 -6.2646 -72.774 20.6925 -24.3226 -32.956 24.323 -31.9882 -23.804 29.6015 -38.8655 -10.751 28.7134 -38.7947 5.23199 20.6708
8 -26.5745 -56.871 14.9897 -41.5001 24.846 -3.03201 -35.3909 37.025 -1.5441 -18.6416 39.751 0.79477 -4.1421 42.451 -7.87653
9 -13.6867 -62.274 10.9089 -4.4269 -42.346 17.8037 1.1508 -36.934 26.6391 -2.431 -25.411 35.4564 -7.3289 -9.235 40.4276
Close -31.5406 19.933 -26.7963 -42.5899 10.421 -12.1635 -38.1887 21.435 -7.81556 -27.1022 31.398 -3.97383 -11.4813 38.563 -5.45991
Open -80.4898 9.448 27.2354 -53.4366 -2.96901 -76.5775 -16.8833 -10.067 -94.6263 6.6757 -20.301 -87.7599 43.1203 -28.395 -64.8005
0 -81.0932 8.05901 27.1203 -53.6905 -4.537 -76.3876 -17.2624 -11.05 -94.4291 6.5775 -20.451 -87.5478 43.4589 -28.962 -64.2278
1 -4.6899 55.055 -45.3013 -26.2501 44.626 -3.9487 -29.7859 43.056 7.0396 -27.5689 33.234 20.2522 -29.5598 17.28 27.1381
2 -7.4536 51.842 -40.5539 -74.6516 38.542 -19.7616 -85.4592 31.167 -12.735 -4.6027 40.706 27.4849 -9.1329 25.299 34.8527
3 28.6844 48.847 -29.6718 -16.027 64.907 -48.7422 -44.1519 60.58 -40.9771 -38.2652 51.463 -8.71997 -41.8121 34.531 1.23263
4 34.8574 33.529 -41.8231 -12.0397 52.87 -65.414 -40.1027 58.298 -49.6869 -48.7928 55.396 -27.8497 -45.3076 44.002 -6.84069
5 -51.1339 39.799 -6.3568 6.9823 69.335 -54.8402 -48.1487 17.845 -26.7449 -6.0096 27.507 -71.3926 -26.2148 -14.077 -30.3596
6 6.0102 37 -16.2731 27.8413 39.739 -24.2547 21.6651 45.131 -13.4485 8.6386 45.133 -0.8594 -7.15874 41.777 4.7007
7 -15.1641 41.465 3.226 -9.0767 52.681 9.0836 -2.3389 45.929 21.7881 -4.5918 32.736 32.1744 -51.4753 14.263 27.3167
8 33.9119 48.483 -18.0184 18.7552 45.219 -6.1563 11.8746 49.186 0.243202 -6.6336 62.693 -5.9606 -21.1698 49.117 -1.0137
9 -21.6703 0.317001 56.5781 -53.7234 -4.614 40.2453 -50.7043 -22.625 36.1062 -60.0143 -39.938 24.3868 -36.9112 -57.881 5.6352
0 -47.6271 29.017 0.528702 -39.043 46.22 -33.417 -44.4025 32.109 -41.8052 -42.7928 8.843 -44.0825 -46.7724 -17.947 -45.3463
